value,timestamp
1440,
1504,
1456,
1376,192.058927263
1472,
1456,
1472,
1376,
1408,
1456,
1488,
1456,
1488,
1472,
1472,
1424,
1472,
1456,
1472,
1456,
1504,
1456,
1392,
1504,
1488,
1472,
1472,
1456,
1456,
1520,
1488,
1456,
1472,
1424,192.089542376
1472,
1440,
1456,
1456,
1472,
1520,
1488,
1408,
1472,
1456,
1488,
1504,
1488,
1504,
1504,
1456,
1504,
1488,
1424,
1488,
1472,
1504,
1504,
1504,
1408,
1504,
1424,
1504,
1488,
1520,192.118841871
1504,
1488,
1472,
1456,
1456,
1504,
1488,
1392,
